Name,Rate,Year
The Shawshank Redemption,9.2,1994
The Godfather,9.2,1972
The Dark Knight,9.0,2008
The Godfather Part II,9.0,1974
12 Angry Men,8.9,1957
Schindler's List,8.9,1993
The Lord of the Rings: The Return of the King,8.9,2003
Pulp Fiction,8.9,1994
The Lord of the Rings: The Fellowship of the Ring,8.8,2001
"Il buono, il brutto, il cattivo",8.8,1966
Forrest Gump,8.8,1994
Fight Club,8.7,1999
Inception,8.7,2010
The Lord of the Rings: The Two Towers,8.7,2002
The Empire Strikes Back,8.7,1980
The Matrix,8.7,1999
Goodfellas,8.7,1990
One Flew Over the Cuckoo's Nest,8.6,1975
Se7en,8.6,1995
Shichinin no samurai,8.6,1954
It's a Wonderful Life,8.6,1946
The Silence of the Lambs,8.6,1991
Cidade de Deus,8.6,2002
Saving Private Ryan,8.6,1998
La vita è bella,8.6,1997
The Green Mile,8.6,1999
Interstellar,8.6,2014
Star Wars,8.6,1977
Terminator 2: Judgment Day,8.5,1991
Back to the Future,8.5,1985
Sen to Chihiro no kamikakushi,8.5,2001
Psycho,8.5,1960
The Pianist,8.5,2002
Léon,8.5,1994
Gisaengchung,8.5,2019
The Lion King,8.5,1994
Gladiator,8.5,2000
American History X,8.5,1998
The Departed,8.5,2006
The Usual Suspects,8.5,1995
The Prestige,8.5,2006
Casablanca,8.5,1942
Whiplash,8.5,2014
The Intouchables,8.5,2011
Seppuku,8.5,1962
Modern Times,8.4,1936
Hotaru no haka,8.4,1988
Once Upon a Time in the West,8.4,1968
Top Gun: Maverick,8.4,2022
Rear Window,8.4,1954
Alien,8.4,1979
City Lights,8.4,1931
Nuovo Cinema Paradiso,8.4,1988
Memento,8.4,2000
Apocalypse Now,8.4,1979
Raiders of the Lost Ark,8.4,1981
Django Unchained,8.4,2012
WALL·E,8.4,2008
The Lives of Others,8.4,2006
Sunset Blvd.,8.4,1950
Paths of Glory,8.4,1957
The Shining,8.4,1980
The Great Dictator,8.4,1940
Witness for the Prosecution,8.4,1957
Avengers: Infinity War,8.4,2018
Aliens,8.3,1986
American Beauty,8.3,1999
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.3,1964
Spider-Man: Into the Spider-Verse,8.3,2018
The Dark Knight Rises,8.3,2012
Oldeuboi,8.3,2003
Joker,8.3,2019
Amadeus,8.3,1984
Braveheart,8.3,1995
Toy Story,8.3,1995
Coco,8.3,2017
Das Boot,8.3,1981
Inglourious Basterds,8.3,2009
Mononoke-hime,8.3,1997
Avengers: Endgame,8.3,2019
Once Upon a Time in America,8.3,1984
Good Will Hunting,8.3,1997
Kimi no na wa.,8.3,2016
Requiem for a Dream,8.3,2000
Toy Story 3,8.3,2010
Singin' in the Rain,8.3,1952
3 Idiots,8.3,2009
Star Wars: Episode VI - Return of the Jedi,8.3,1983
Tengoku to jigoku,8.3,1963
2001: A Space Odyssey,8.3,1968
Eternal Sunshine of the Spotless Mind,8.3,2004
Reservoir Dogs,8.3,1992
Capharnaüm,8.3,2018
Citizen Kane,8.3,1941
Lawrence of Arabia,8.3,1962
Jagten,8.3,2012
M - Eine Stadt sucht einen Mörder,8.3,1931
North by Northwest,8.3,1959
Vertigo,8.2,1958
Idi i smotri,8.2,1985
Le fabuleux destin d'Amélie Poulain,8.2,2001
A Clockwork Orange,8.2,1971
Double Indemnity,8.2,1944
Full Metal Jacket,8.2,1987
The Apartment,8.2,1960
Scarface,8.2,1983
Ikiru,8.2,1952
The Sting,8.2,1973
To Kill a Mockingbird,8.2,1962
Taxi Driver,8.2,1976
Up,8.2,2009
Heat,8.2,1995
L.A. Confidential,8.2,1997
